Employee Salary	Months of Experience	Gender
70.124,00 ?	46	1
66.992,00 ?	13	1
71.922,00 ?	60	1
68.601,00 ?	21	1
76.875,00 ?	116	1
73.400,00 ?	107	1
67.298,00 ?	1	1
67.658,00 ?	35	1
66.406,00 ?	21	1
70.026,00 ?	42	1
73.563,00 ?	110	1
68.640,00 ?	55	1
68.108,00 ?	41	1
73.191,00 ?	87	1
73.341,00 ?	85	1
71.398,00 ?	71	1
69.468,00 ?	22	1
67.032,00 ?	9	1
68.850,00 ?	31	1
75.913,00 ?	110	1
67.037,00 ?	33	1
67.368,00 ?	19	1
74.189,00 ?	91	1
69.239,00 ?	28	1
71.593,00 ?	77	1
72.018,00 ?	85	1
75.740,00 ?	117	1
65.937,00 ?	1	1
73.667,00 ?	107	1
68.294,00 ?	32	1
71.326,00 ?	60	1
70.057,00 ?	49	1
68.118,00 ?	26	1
71.977,00 ?	64	1
74.733,00 ?	102	1
72.748,00 ?	86	1
68.196,00 ?	31	1
72.608,00 ?	81	1
71.292,00 ?	64	1
73.379,00 ?	68	1
72.589,00 ?	84	1
75.703,00 ?	116	1
67.596,00 ?	31	1
73.741,00 ?	84	1
66.971,00 ?	32	1
68.632,00 ?	29	1
74.378,00 ?	112	1
67.044,00 ?	8	1
73.462,00 ?	98	1
67.384,00 ?	21	1
67.656,00 ?	14	1
72.205,00 ?	78	1
69.055,00 ?	64	1
75.575,00 ?	106	1
68.953,00 ?	51	1
66.951,00 ?	6	1
67.412,00 ?	22	1
76.880,00 ?	116	1
73.196,00 ?	88	1
69.659,00 ?	57	1
71.193,00 ?	70	1
72.193,00 ?	92	1
68.551,00 ?	52	1
70.905,00 ?	53	1
69.103,00 ?	31	1
71.531,00 ?	75	1
75.579,00 ?	110	1
72.671,00 ?	97	1
66.737,00 ?	16	1
69.271,00 ?	61	1
73.956,00 ?	84	1
71.922,00 ?	82	1
72.911,00 ?	84	1
66.874,00 ?	17	1
72.023,00 ?	63	1
75.069,00 ?	98	1
69.612,00 ?	49	1
69.473,00 ?	67	1
69.454,00 ?	37	1
70.989,00 ?	60	1
69.465,00 ?	45	1
71.310,00 ?	83	1
69.078,00 ?	29	1
67.817,00 ?	41	1
74.257,00 ?	94	1
69.623,00 ?	39	1
67.339,00 ?	21	1
68.353,00 ?	21	1
73.282,00 ?	98	1
67.810,00 ?	5	1
74.388,00 ?	112	1
72.916,00 ?	92	1
72.284,00 ?	99	1
68.283,00 ?	44	1
68.929,00 ?	28	1
70.262,00 ?	63	1
69.757,00 ?	34	1
70.520,00 ?	55	1
70.446,00 ?	48	1
76.932,00 ?	117	1
69.072,00 ?	64	1
70.438,00 ?	67	1
74.119,00 ?	117	1
66.339,00 ?	15	1
74.483,00 ?	104	1
76.492,00 ?	107	1
70.124,00 ?	24	1
68.274,00 ?	29	1
75.993,00 ?	110	1
72.503,00 ?	82	1
